2024-02-04 18:48:18 | INFO | model_worker | args: Namespace(host='localhost', port=31022, worker_address='http://localhost:31022', controller_address='http://localhost:21001', revision='main', device='cuda', gpus=None, num_gpus=8, max_gpu_memory='31Gib', dtype='float16', load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, exllama_cache_8bit=False, enable_xft=False, xft_max_seq_len=4096, xft_dtype=None, model_path=['/data/rolnan/FastChat/lora/hotpotqa/13b_test-hotpotqa-plan-5-epoch', '/data/rolnan/FastChat/lora/hotpotqa/13b_test-hotpotqa-action-5-epoch', '/data/rolnan/FastChat/lora/hotpotqa/13b_test-hotpotqa-reflect-5-epoch'], model_names=[['plan'], ['action'], ['reflect']], conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False, ssl=False)
2024-02-04 18:48:19 | INFO | model_worker | Loading the model ['plan'] on worker a506cb85 ...
2024-02-04 18:48:20 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                | 0/3 [00:00<?, ?it/s]
2024-02-04 18:48:32 | ERROR | stderr | Loading checkpoint shards:  33%|████████████████████████                                                | 1/3 [00:12<00:24, 12.11s/it]
2024-02-04 18:48:44 | ERROR | stderr | Loading checkpoint shards:  67%|████████████████████████████████████████████████                        | 2/3 [00:24<00:12, 12.22s/it]
2024-02-04 18:48:52 | ERROR | stderr | Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████| 3/3 [00:32<00:00, 10.41s/it]
2024-02-04 18:48:52 | ERROR | stderr | Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████| 3/3 [00:32<00:00, 10.89s/it]
2024-02-04 18:48:52 | ERROR | stderr | 
2024-02-04 18:49:17 | INFO | model_worker | Register to controller
2024-02-04 18:49:17 | INFO | model_worker | Loading the model ['action'] on worker a506cb85 ...
2024-02-04 18:49:18 | INFO | model_worker | Register to controller
2024-02-04 18:49:18 | INFO | model_worker | Loading the model ['reflect'] on worker a506cb85 ...
2024-02-04 18:49:18 | INFO | model_worker | Register to controller
2024-02-04 18:49:18 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m40768[0m]
2024-02-04 18:49:18 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-02-04 18:49:18 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-02-04 18:49:18 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:31022[0m (Press CTRL+C to quit)
2024-02-04 18:49:27 | INFO | stdout | [32mINFO[0m:     ::1:37262 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:27 | INFO | stdout | [32mINFO[0m:     ::1:37264 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:33 | INFO | stdout | [32mINFO[0m:     ::1:37266 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:33 | INFO | stdout | [32mINFO[0m:     ::1:37348 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:33 | INFO | stdout | [32mINFO[0m:     ::1:37350 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:34 | INFO | stdout | [32mINFO[0m:     ::1:37352 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:34 | INFO | stdout | [32mINFO[0m:     ::1:37362 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:34 | INFO | stdout | [32mINFO[0m:     ::1:37364 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:35 | INFO | stdout | [32mINFO[0m:     ::1:37366 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:36 | INFO | stdout | [32mINFO[0m:     ::1:37402 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:36 | INFO | stdout | [32mINFO[0m:     ::1:37404 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:38 | INFO | stdout | [32mINFO[0m:     ::1:37406 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:38 | INFO | stdout | [32mINFO[0m:     ::1:37428 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:38 | INFO | stdout | [32mINFO[0m:     ::1:37430 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:38 | INFO | stdout | [32mINFO[0m:     ::1:37432 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:38 | INFO | stdout | [32mINFO[0m:     ::1:37466 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:38 | INFO | stdout | [32mINFO[0m:     ::1:37468 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:49:39 | INFO | stdout | [32mINFO[0m:     ::1:37470 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2024-02-04 18:50:03 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:50:03 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:50:03 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:50:48 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:50:48 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:50:48 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:51:33 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:51:33 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:51:33 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:52:18 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:52:18 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:52:18 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:53:03 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:53:03 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:53:03 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:53:48 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:53:48 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:53:48 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:54:33 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:54:33 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:54:33 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:55:18 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:55:18 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:55:18 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:56:03 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:56:03 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:56:03 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:56:48 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:56:48 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:56:48 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:57:33 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:57:33 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:57:33 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:58:18 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:58:18 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:58:18 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:59:03 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:59:03 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:59:03 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 18:59:48 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 18:59:48 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 18:59:48 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 19:00:33 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
2024-02-04 19:00:33 | INFO | model_worker | Send heart beat. Models: ['action']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: a506cb85. 
2024-02-04 19:00:33 | INFO | model_worker | Send heart beat. Models: ['reflect']. Semaphore: Semaphore(value=5, locked=False). call_ct: 0. worker_id: a506cb85. 
2024-02-04 19:01:18 | INFO | model_worker | Send heart beat. Models: ['plan']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: a506cb85. 
